AffiliationCnt	PersonID	Forename	Patronymic	Surname	Birth	Sex	urlPersonal	urlWiki
2	МиколаЯновичАзаров.1947	Микола	Янович	Азаров	1947-12-17	M		https://en.wikipedia.org/wiki/Mykola_Azarov
3	СергійГеннадійовичАрбузов.1976	Сергій	Геннадійович	Арбузов	1976-03-24	M		https://en.wikipedia.org/wiki/Serhiy_Arbuzov
4	ЮрійАнатолійовичБойко.1958	Юрій	Анатолійович	Бойко	1958-10-09	M		https://en.wikipedia.org/wiki/Yuriy_Boyko
3	ОлександрЮрійовичВілкул.1974	Олександр	Юрійович	Вілкул	1974-05-24	M	https://uk-ua.facebook.com/OleksandrVilkul/;https://t.me/s/vilkul/2234	https://en.wikipedia.org/wiki/Oleksandr_Vilkul
2	КостянтинІвановичГрищенко.1953	Костянтин	Іванович	Грищенко	1953-10-28	M		https://en.wikipedia.org/wiki/Kostyantyn_Gryshchenko
3	ОленаЛеонідівнаЛукаш.1976	Олена	Леонідівна	Лукаш	1976-11-12	F	https://twitter.com/lukash_el;https://www.facebook.com/Lukash.ua;https://www.facebook.com/lukash.elena.ua	https://en.wikipedia.org/wiki/Olena_Lukash
2	МиколаВолодимировичПрисяжнюк.1960	Микола	Володимирович	Присяжнюк	1960-01-03	M		https://en.wikipedia.org/wiki/Mykola_Prysyazhnyuk
2	ВіталійЮрійовичЗахарченко.1963	Віталій	Юрійович	Захарченко	1963-01-20	M		https://en.wikipedia.org/wiki/Vitaliy_Zakharchenko
8	АрсенБорисовичАваков.1964	Арсен	Борисович	Аваков	1964-01-02	M	https://avakov.com/en/	https://en.wikipedia.org/wiki/Arsen_Avakov
2	ОлександрВікторовичКлименко.1980	Олександр	Вікторович	Клименко	1980-11-16	M	https://oleksandr-klymenko.com/en/	https://en.wikipedia.org/wiki/Oleksandr_Klymenko_(politician)
2	ОлегАльбертовичПроскуряков.1968	Олег	Альбертович	Проскуряков	1968-02-13	M		https://uk.wikipedia.org/wiki/%D0%9F%D1%80%D0%BE%D1%81%D0%BA%D1%83%D1%80%D1%8F%D0%BA%D0%BE%D0%B2_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%90%D0%BB%D1%8C%D0%B1%D0%B5%D1%80%D1%82%D0%BE%D0%B2%D0%B8%D1%87
2	ІгорМиколайовичПрасолов.1962	Ігор	Миколайович	Прасолов	1962-02-04	M		https://en.wikipedia.org/wiki/Ihor_Prasolov
2	ЕдуардАнатолійовичСтавицький.1972	Едуард	Анатолійович	Ставицький	1972-10-04	M		https://en.wikipedia.org/wiki/Eduard_Stavytsky
3	ЛеонідОлександровичКожара.1963	Леонід	Олександрович	Кожара	1963-01-14	M		https://en.wikipedia.org/wiki/Leonid_Kozhara
2	ВолодимирВасильовичКозак.1959	Володимир	Васильович	Козак	1959-08-09	M		https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D0%B7%D0%B0%D0%BA_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87_(1959)
2	ЛеонідМихайловичНовохатько.1954	Леонід	Михайлович	Новохатько	1954-01-11	M		https://en.wikipedia.org/wiki/Leonid_Novokhatko
3	РавільСафовичСафіуллін.1955	Равіль	Сафович	Сафіуллін	1955-02-04	M		https://en.wikipedia.org/wiki/Ravil_Safiullin
2	ПавлоВалентиновичЛебедєв.1962	Павло	Валентинович	Лебедєв	1962-07-12	M		https://en.wikipedia.org/wiki/Pavlo_Lebedyev
2	ДмитроВолодимировичТабачник.1963	Дмитро	Володимирович	Табачник	1963-11-26	M		https://en.wikipedia.org/wiki/Dmytro_Tabachnyk
